order_id,customer_id,customer_name,email,city,state,country,product_id,product_title,category,brand,quantity,unit_price,discount,tax,shipping,total_amount,net_amount,payment_method,status,rating,order_date
100001,2679,Donald Walker,rhodespatricia@example.org,Johnsonland,Indiana,United States,7771,Mamaearth Furniture Product 45,Appliances,Puma,1,1118,100,201.24,40,1118,1259.24,UPI,Delivered,3.5,2025-12-12 18:50:54
100002,11647,Lance Hoffman,lrobinson@example.com,Port Lindachester,Michigan,United States,7872,Lenovo Grocery Product 113,Toys,LG,2,7922,1000,2851.92,120,15844,17815.92,Debit Card,Delivered,4.0,2025-05-26 07:15:54
100003,2519,Daniel Gallagher,daviscolin@example.com,Lindsaymouth,Ohio,United States,6556,Samsung Books Product 434,Books,LG,4,11448,100,8242.56,40,45792,53974.56,Debit Card,Delivered,5.0,2025-12-05 00:09:54
100004,11299,Thomas Miller,maria95@example.net,Lake Chad,Texas,United States,7533,Zara Books Product 296,Beauty,Mamaearth,4,17870,0,12866.4,80,71480,84426.4,UPI,Delivered,5.0,2025-07-18 07:21:54
100005,8428,Dylan Miller,michellejames@example.com,Franciscostad,Indiana,United States,7603,IKEA Books Product 84,Books,Boat,2,9781,0,3521.16,40,19562,23123.16,Credit Card,Processing,5.0,2025-08-10 02:20:54
100006,7216,Mia Sutton,lynchgeorge@example.net,East Steven,Louisiana,United States,6105,Zara Furniture Product 113,Books,IKEA,1,20259,0,3646.62,120,20259,24025.62,UPI,Shipped,3.5,2026-01-03 19:32:54
100007,6155,Margaret Hawkins DDS,perezantonio@example.com,Adamsborough,Oregon,United States,5870,Dell Toys Product 203,Toys,Nike,3,13444,100,7259.76,0,40332,47491.76,Debit Card,Shipped,4.0,2025-12-01 08:59:54
100008,6930,Emily Rios,pwilkerson@example.com,West Donald,West Virginia,United States,5898,Nike Furniture Product 253,Fashion,Philips,5,17960,100,16164.0,120,89800,105984.0,UPI,Delivered,4.0,2026-07-11 08:28:54
100009,10763,Deborah Richards,icox@example.net,Daviston,Delaware,United States,6917,Lenovo Sports Product 498,Furniture,IKEA,2,22597,500,8134.92,120,45194,52948.92,UPI,Delivered,5.0,2025-07-03 02:27:54
100010,3591,Christopher Becker,cruzcaitlin@example.com,Tashatown,Utah,United States,6858,Apple Sports Product 498,Furniture,Philips,5,24903,100,22412.7,60,124515,146887.7,Credit Card,Cancelled,3.5,2025-08-20 23:30:54
